OrderLineID,TransactionID,ProductID,Quantity,UnitPrice,Discount,LineTotal
"OL-1","TRN-9001","P102","3","80","0","240"
"OL-2","TRN-9002","C303","1","60","0","60"
"OL-3","TRN-9003","P202","3","65","0.15","165.75"
"OL-4","TRN-9003","P201","3","70","0.15","178.5"
"OL-5","TRN-9003","P201","1","70","0.15","59.5"
"OL-6","TRN-9004","C304","2","58","0","116"
"OL-7","TRN-9004","C301","1","55","0","55"
"OL-8","TRN-9005","P201","3","70","0","210"
"OL-9","TRN-9005","P201","1","70","0","70"
"OL-10","TRN-9005","P101","1","85","0","85"
"OL-11","TRN-9006","P101","3","85","0","255"
"OL-12","TRN-9006","P103","1","95","0","95"
"OL-13","TRN-9007","P103","1","95","0.15","80.75"
"OL-14","TRN-9008","P202","3","65","0","195"
"OL-15","TRN-9009","C302","1","50","0.15","42.5"
"OL-16","TRN-9009","P203","3","68","0.15","173.4"
"OL-17","TRN-9009","P103","3","95","0.15","242.25"
"OL-18","TRN-9009","P203","1","68","0.15","57.8"
"OL-19","TRN-9010","C301","3","55","0.05","156.75"
"OL-20","TRN-9010","P203","2","68","0.05","129.2"
"OL-21","TRN-9011","P202","3","65","0","195"
"OL-22","TRN-9012","P101","3","85","0","255"
"OL-23","TRN-9012","C303","1","60","0","60"
"OL-24","TRN-9012","P202","1","65","0","65"
"OL-25","TRN-9013","P102","1","80","0","80"
"OL-26","TRN-9013","P103","3","95","0","285"
"OL-27","TRN-9014","C304","3","58","0","174"
"OL-28","TRN-9015","P101","2","85","0","170"
"OL-29","TRN-9015","P201","2","70","0","140"
"OL-30","TRN-9015","P103","3","95","0","285"
"OL-31","TRN-9015","C304","3","58","0","174"
"OL-32","TRN-9016","C303","2","60","0","120"
"OL-33","TRN-9016","C303","2","60","0","120"
"OL-34","TRN-9017","P203","3","68","0","204"
"OL-35","TRN-9017","C303","3","60","0","180"
"OL-36","TRN-9017","C304","3","58","0","174"
"OL-37","TRN-9018","P101","3","85","0","255"
"OL-38","TRN-9018","P203","3","68","0","204"
"OL-39","TRN-9018","C301","2","55","0","110"
"OL-40","TRN-9019","P203","1","68","0.1","61.2"
"OL-41","TRN-9019","C301","1","55","0.1","49.5"
"OL-42","TRN-9019","P101","3","85","0.1","229.5"
"OL-43","TRN-9019","C303","3","60","0.1","162"
"OL-44","TRN-9020","P103","2","95","0","190"
"OL-45","TRN-9020","P201","1","70","0","70"
"OL-46","TRN-9021","C303","3","60","0.05","171"
"OL-47","TRN-9021","C301","3","55","0.05","156.75"
"OL-48","TRN-9021","P102","3","80","0.05","228"
"OL-49","TRN-9022","P203","3","68","0","204"
"OL-50","TRN-9023","P101","1","85","0","85"
"OL-51","TRN-9023","P103","1","95","0","95"
"OL-52","TRN-9023","C301","3","55","0","165"
"OL-53","TRN-9023","P102","3","80","0","240"
"OL-54","TRN-9024","P202","3","65","0.05","185.25"
"OL-55","TRN-9024","P103","2","95","0.05","180.5"
"OL-56","TRN-9024","C301","1","55","0.05","52.25"
"OL-57","TRN-9024","P103","2","95","0.05","180.5"
"OL-58","TRN-9025","P201","3","70","0","210"
"OL-59","TRN-9025","P101","1","85","0","85"
"OL-60","TRN-9025","C304","3","58","0","174"
"OL-61","TRN-9025","P103","1","95","0","95"
"OL-62","TRN-9026","P103","2","95","0.15","161.5"
"OL-63","TRN-9026","C302","3","50","0.15","127.5"
"OL-64","TRN-9027","P203","3","68","0","204"
"OL-65","TRN-9028","P101","1","85","0.05","80.75"
"OL-66","TRN-9029","C301","1","55","0","55"
"OL-67","TRN-9029","P202","2","65","0","130"
"OL-68","TRN-9029","P203","1","68","0","68"
"OL-69","TRN-9030","P103","2","95","0","190"
"OL-70","TRN-9030","P103","1","95","0","95"
"OL-71","TRN-9030","P202","2","65","0","130"
"OL-72","TRN-9031","C302","3","50","0.15","127.5"
"OL-73","TRN-9031","P103","3","95","0.15","242.25"
"OL-74","TRN-9031","P102","3","80","0.15","204"
"OL-75","TRN-9032","P202","3","65","0","195"
"OL-76","TRN-9032","P101","3","85","0","255"
"OL-77","TRN-9032","P201","2","70","0","140"
"OL-78","TRN-9033","P202","3","65","0","195"
"OL-79","TRN-9033","C304","2","58","0","116"
"OL-80","TRN-9033","P201","2","70","0","140"
"OL-81","TRN-9033","P201","1","70","0","70"
"OL-82","TRN-9034","C303","3","60","0","180"
"OL-83","TRN-9035","P101","3","85","0","255"
"OL-84","TRN-9036","P102","2","80","0","160"
"OL-85","TRN-9037","C301","3","55","0","165"
"OL-86","TRN-9038","C302","2","50","0","100"
"OL-87","TRN-9039","P201","1","70","0","70"
"OL-88","TRN-9039","P203","2","68","0","136"
"OL-89","TRN-9039","C302","3","50","0","150"
"OL-90","TRN-9040","P102","3","80","0.15","204"
"OL-91","TRN-9040","P103","1","95","0.15","80.75"
"OL-92","TRN-9040","P203","3","68","0.15","173.4"
"OL-93","TRN-9040","P101","2","85","0.15","144.5"
"OL-94","TRN-9041","C303","3","60","0","180"
"OL-95","TRN-9041","P102","1","80","0","80"
"OL-96","TRN-9041","P201","2","70","0","140"
"OL-97","TRN-9042","C301","1","55","0.15","46.75"
"OL-98","TRN-9042","P101","3","85","0.15","216.75"
"OL-99","TRN-9043","C302","3","50","0","150"
"OL-100","TRN-9043","P203","1","68","0","68"
"OL-101","TRN-9044","P102","2","80","0","160"
"OL-102","TRN-9044","P203","1","68","0","68"
"OL-103","TRN-9044","P203","1","68","0","68"
"OL-104","TRN-9045","C304","3","58","0","174"
"OL-105","TRN-9045","C301","3","55","0","165"
"OL-106","TRN-9045","C302","1","50","0","50"
"OL-107","TRN-9045","P202","2","65","0","130"
"OL-108","TRN-9046","P201","3","70","0","210"
"OL-109","TRN-9047","P102","2","80","0","160"
"OL-110","TRN-9047","P103","2","95","0","190"
"OL-111","TRN-9047","C304","2","58","0","116"
"OL-112","TRN-9048","P102","3","80","0","240"
"OL-113","TRN-9048","C301","2","55","0","110"
"OL-114","TRN-9048","C304","1","58","0","58"
"OL-115","TRN-9048","C301","3","55","0","165"
"OL-116","TRN-9049","C301","2","55","0","110"
"OL-117","TRN-9049","C301","3","55","0","165"
"OL-118","TRN-9050","C303","1","60","0","60"
"OL-119","TRN-9050","P101","3","85","0","255"
"OL-120","TRN-9050","C303","2","60","0","120"
"OL-121","TRN-9050","C303","3","60","0","180"
"OL-122","TRN-9051","C303","1","60","0","60"
"OL-123","TRN-9051","P102","1","80","0","80"
"OL-124","TRN-9051","P101","3","85","0","255"
"OL-125","TRN-9051","P103","3","95","0","285"
"OL-126","TRN-9052","P201","1","70","0.15","59.5"
"OL-127","TRN-9052","P103","3","95","0.15","242.25"
"OL-128","TRN-9053","P101","1","85","0.05","80.75"
"OL-129","TRN-9053","C302","1","50","0.05","47.5"
"OL-130","TRN-9053","P101","2","85","0.05","161.5"
"OL-131","TRN-9053","C301","3","55","0.05","156.75"
"OL-132","TRN-9054","C302","1","50","0","50"
"OL-133","TRN-9054","C303","1","60","0","60"
"OL-134","TRN-9054","C301","3","55","0","165"
"OL-135","TRN-9055","P202","2","65","0","130"
"OL-136","TRN-9056","P202","1","65","0.15","55.25"
"OL-137","TRN-9056","C302","1","50","0.15","42.5"
"OL-138","TRN-9056","P203","1","68","0.15","57.8"
"OL-139","TRN-9056","P103","3","95","0.15","242.25"
"OL-140","TRN-9057","P202","2","65","0","130"
"OL-141","TRN-9057","P202","2","65","0","130"
"OL-142","TRN-9057","C303","1","60","0","60"
"OL-143","TRN-9057","C303","2","60","0","120"
"OL-144","TRN-9058","P101","2","85","0","170"
"OL-145","TRN-9059","P202","1","65","0.15","55.25"
"OL-146","TRN-9059","C302","2","50","0.15","85"
"OL-147","TRN-9059","C302","1","50","0.15","42.5"
"OL-148","TRN-9059","P103","3","95","0.15","242.25"
"OL-149","TRN-9060","P203","3","68","0.05","193.8"
"OL-150","TRN-9060","P103","3","95","0.05","270.75"
"OL-151","TRN-9060","P203","3","68","0.05","193.8"
