ShipmentID,TransactionID,Carrier,ShipDate,DeliveryDate
"SHP-1","TRN-9001","UPS","2022-11-14","2022-11-20"
"SHP-2","TRN-9003","SweetHaul Logistics","2023-11-16","2023-11-21"
"SHP-3","TRN-9004","UPS","2022-11-12","2022-11-16"
"SHP-4","TRN-9006","SweetHaul Logistics","2025-07-22","2025-07-27"
"SHP-5","TRN-9009","ChocoExpress","2025-02-11","2025-02-17"
"SHP-6","TRN-9012","FedEx","2024-10-12","2024-10-14"
"SHP-7","TRN-9013","SweetHaul Logistics","2025-08-25","2025-08-28"
"SHP-8","TRN-9014","FedEx","2025-07-20","2025-07-26"
"SHP-9","TRN-9015","FedEx","2025-10-13","2025-10-19"
"SHP-10","TRN-9017","SweetHaul Logistics","2022-07-02","2022-07-06"
"SHP-11","TRN-9018","SweetHaul Logistics","2024-03-01","2024-03-06"
"SHP-12","TRN-9025","ChocoExpress","2024-05-23","2024-05-29"
"SHP-13","TRN-9026","FedEx","2023-03-02","2023-03-05"
"SHP-14","TRN-9029","SweetHaul Logistics","2024-04-29","2024-05-03"
"SHP-15","TRN-9033","SweetHaul Logistics","2024-09-10","2024-09-15"
"SHP-16","TRN-9034","SweetHaul Logistics","2023-04-25","2023-04-29"
"SHP-17","TRN-9035","FedEx","2022-10-20","2022-10-23"
"SHP-18","TRN-9038","FedEx","2023-02-20","2023-02-25"
"SHP-19","TRN-9039","SweetHaul Logistics","2023-01-22","2023-01-27"
"SHP-20","TRN-9042","ChocoExpress","2022-08-21","2022-08-26"
"SHP-21","TRN-9043","FedEx","2022-11-05","2022-11-11"
"SHP-22","TRN-9044","ChocoExpress","2022-12-11","2022-12-14"
"SHP-23","TRN-9046","UPS","2024-07-05","2024-07-07"
"SHP-24","TRN-9048","ChocoExpress","2023-08-03","2023-08-09"
"SHP-25","TRN-9052","FedEx","2023-04-27","2023-04-30"
"SHP-26","TRN-9055","SweetHaul Logistics","2025-02-28","2025-03-02"
"SHP-27","TRN-9056","UPS","2022-06-22","2022-06-26"
"SHP-28","TRN-9057","FedEx","2025-09-18","2025-09-21"
"SHP-29","TRN-9058","ChocoExpress","2023-04-26","2023-04-28"
"SHP-30","TRN-9059","FedEx","2025-02-22","2025-02-27"
"SHP-31","TRN-9061","SweetHaul Logistics","2024-11-16","2024-11-20"
"SHP-32","TRN-9063","UPS","2024-04-28","2024-05-04"
"SHP-33","TRN-9065","FedEx","2022-02-06","2022-02-08"
"SHP-34","TRN-9066","UPS","2025-07-09","2025-07-12"
"SHP-35","TRN-9068","UPS","2024-04-24","2024-04-26"
"SHP-36","TRN-9074","FedEx","2024-12-01","2024-12-04"
"SHP-37","TRN-9080","FedEx","2022-03-09","2022-03-12"
"SHP-38","TRN-9085","FedEx","2025-09-16","2025-09-20"
"SHP-39","TRN-9086","UPS","2023-06-08","2023-06-14"
"SHP-40","TRN-9089","SweetHaul Logistics","2023-07-21","2023-07-23"
"SHP-41","TRN-9090","SweetHaul Logistics","2023-01-28","2023-01-31"
"SHP-42","TRN-9091","ChocoExpress","2025-05-27","2025-05-30"
"SHP-43","TRN-9092","UPS","2022-10-04","2022-10-08"
"SHP-44","TRN-9097","UPS","2025-02-01","2025-02-07"
"SHP-45","TRN-9098","ChocoExpress","2023-09-05","2023-09-08"
"SHP-46","TRN-9103","UPS","2023-09-19","2023-09-21"
"SHP-47","TRN-9106","ChocoExpress","2023-11-11","2023-11-16"
"SHP-48","TRN-9107","ChocoExpress","2023-03-01","2023-03-06"
"SHP-49","TRN-9110","FedEx","2022-06-17","2022-06-22"
"SHP-50","TRN-9111","UPS","2022-12-19","2022-12-24"
"SHP-51","TRN-9114","ChocoExpress","2025-04-21","2025-04-26"
"SHP-52","TRN-9120","SweetHaul Logistics","2025-04-18","2025-04-22"
"SHP-53","TRN-9124","ChocoExpress","2023-10-31","2023-11-04"
"SHP-54","TRN-9125","SweetHaul Logistics","2023-04-12","2023-04-15"
"SHP-55","TRN-9128","FedEx","2023-12-17","2023-12-23"
"SHP-56","TRN-9131","FedEx","2025-10-08","2025-10-10"
"SHP-57","TRN-9137","SweetHaul Logistics","2022-11-22","2022-11-27"
"SHP-58","TRN-9138","UPS","2025-05-02","2025-05-07"
"SHP-59","TRN-9142","ChocoExpress","2025-04-08","2025-04-12"
"SHP-60","TRN-9148","FedEx","2025-06-20","2025-06-24"
"SHP-61","TRN-9149","ChocoExpress","2023-07-04","2023-07-07"
"SHP-62","TRN-9161","FedEx","2025-08-15","2025-08-18"
"SHP-63","TRN-9162","ChocoExpress","2025-02-03","2025-02-05"
"SHP-64","TRN-9166","FedEx","2025-02-06","2025-02-09"
"SHP-65","TRN-9169","UPS","2023-05-01","2023-05-03"
"SHP-66","TRN-9172","ChocoExpress","2025-08-07","2025-08-11"
"SHP-67","TRN-9178","FedEx","2024-10-07","2024-10-10"
"SHP-68","TRN-9183","ChocoExpress","2025-05-27","2025-06-01"
"SHP-69","TRN-9187","ChocoExpress","2024-04-29","2024-05-03"
"SHP-70","TRN-9189","SweetHaul Logistics","2023-06-25","2023-06-27"
"SHP-71","TRN-9193","ChocoExpress","2023-06-12","2023-06-14"
"SHP-72","TRN-9196","ChocoExpress","2024-08-14","2024-08-16"
"SHP-73","TRN-9198","FedEx","2023-01-01","2023-01-05"
"SHP-74","TRN-9199","UPS","2024-11-09","2024-11-11"
"SHP-75","TRN-9200","UPS","2024-01-05","2024-01-08"
"SHP-76","TRN-9201","UPS","2024-02-05","2024-02-10"
"SHP-77","TRN-9203","ChocoExpress","2024-01-30","2024-02-01"
"SHP-78","TRN-9205","SweetHaul Logistics","2022-09-09","2022-09-12"
"SHP-79","TRN-9206","ChocoExpress","2023-02-22","2023-02-26"
"SHP-80","TRN-9208","SweetHaul Logistics","2025-06-28","2025-07-04"
"SHP-81","TRN-9212","FedEx","2025-01-01","2025-01-07"
"SHP-82","TRN-9213","UPS","2023-06-26","2023-06-28"
"SHP-83","TRN-9214","ChocoExpress","2025-03-16","2025-03-19"
"SHP-84","TRN-9217","UPS","2025-07-06","2025-07-10"
"SHP-85","TRN-9218","ChocoExpress","2025-02-22","2025-02-28"
"SHP-86","TRN-9220","ChocoExpress","2022-07-13","2022-07-15"
"SHP-87","TRN-9226","ChocoExpress","2023-05-30","2023-06-03"
"SHP-88","TRN-9233","ChocoExpress","2023-09-12","2023-09-15"
"SHP-89","TRN-9234","UPS","2025-01-23","2025-01-26"
"SHP-90","TRN-9239","ChocoExpress","2024-05-08","2024-05-13"
"SHP-91","TRN-9245","ChocoExpress","2022-06-17","2022-06-19"
"SHP-92","TRN-9246","ChocoExpress","2025-03-15","2025-03-17"
"SHP-93","TRN-9247","ChocoExpress","2023-03-10","2023-03-15"
"SHP-94","TRN-9250","UPS","2022-01-02","2022-01-04"
"SHP-95","TRN-9251","ChocoExpress","2024-01-19","2024-01-25"
"SHP-96","TRN-9255","SweetHaul Logistics","2022-02-16","2022-02-19"
"SHP-97","TRN-9256","FedEx","2025-09-07","2025-09-11"
"SHP-98","TRN-9260","FedEx","2024-07-18","2024-07-20"
"SHP-99","TRN-9263","UPS","2024-02-07","2024-02-13"
"SHP-100","TRN-9266","UPS","2025-08-06","2025-08-09"
"SHP-101","TRN-9267","ChocoExpress","2025-05-17","2025-05-22"
"SHP-102","TRN-9271","FedEx","2023-12-13","2023-12-16"
"SHP-103","TRN-9272","SweetHaul Logistics","2025-05-31","2025-06-04"
"SHP-104","TRN-9273","SweetHaul Logistics","2024-05-15","2024-05-19"
"SHP-105","TRN-9275","FedEx","2024-03-10","2024-03-12"
"SHP-106","TRN-9276","ChocoExpress","2024-12-13","2024-12-17"
"SHP-107","TRN-9278","SweetHaul Logistics","2025-05-05","2025-05-09"
"SHP-108","TRN-9281","ChocoExpress","2023-09-25","2023-09-27"
"SHP-109","TRN-9283","SweetHaul Logistics","2024-08-18","2024-08-24"
"SHP-110","TRN-9287","FedEx","2023-10-06","2023-10-08"
"SHP-111","TRN-9289","UPS","2024-01-16","2024-01-20"
"SHP-112","TRN-9291","UPS","2024-09-30","2024-10-03"
"SHP-113","TRN-9293","FedEx","2024-09-08","2024-09-10"
"SHP-114","TRN-9294","FedEx","2022-09-15","2022-09-18"
"SHP-115","TRN-9296","UPS","2024-02-24","2024-02-27"
"SHP-116","TRN-9302","ChocoExpress","2025-06-30","2025-07-05"
"SHP-117","TRN-9304","UPS","2025-06-03","2025-06-07"
"SHP-118","TRN-9307","FedEx","2023-04-10","2023-04-16"
"SHP-119","TRN-9308","UPS","2023-06-07","2023-06-13"
"SHP-120","TRN-9311","FedEx","2022-11-09","2022-11-11"
"SHP-121","TRN-9313","UPS","2024-06-28","2024-07-03"
"SHP-122","TRN-9314","FedEx","2022-08-29","2022-08-31"
"SHP-123","TRN-9315","UPS","2025-10-10","2025-10-12"
"SHP-124","TRN-9319","ChocoExpress","2023-03-10","2023-03-16"
"SHP-125","TRN-9322","SweetHaul Logistics","2022-05-01","2022-05-04"
"SHP-126","TRN-9325","UPS","2024-07-29","2024-08-04"
"SHP-127","TRN-9326","UPS","2023-12-10","2023-12-16"
"SHP-128","TRN-9328","UPS","2024-10-19","2024-10-25"
"SHP-129","TRN-9331","ChocoExpress","2022-12-31","2023-01-06"
"SHP-130","TRN-9340","ChocoExpress","2022-08-01","2022-08-07"
"SHP-131","TRN-9341","ChocoExpress","2022-11-26","2022-11-30"
"SHP-132","TRN-9344","SweetHaul Logistics","2023-11-26","2023-11-30"
"SHP-133","TRN-9345","SweetHaul Logistics","2024-08-13","2024-08-16"
"SHP-134","TRN-9346","SweetHaul Logistics","2022-10-16","2022-10-18"
"SHP-135","TRN-9348","FedEx","2023-12-31","2024-01-06"
"SHP-136","TRN-9349","UPS","2024-06-20","2024-06-23"
"SHP-137","TRN-9351","ChocoExpress","2025-01-06","2025-01-08"
"SHP-138","TRN-9355","UPS","2023-12-09","2023-12-15"
"SHP-139","TRN-9356","UPS","2024-07-06","2024-07-12"
"SHP-140","TRN-9358","SweetHaul Logistics","2024-02-05","2024-02-07"
"SHP-141","TRN-9359","UPS","2023-05-18","2023-05-21"
"SHP-142","TRN-9362","UPS","2023-11-20","2023-11-25"
